pose x,pose y
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
